time;gFx;gFy;gFz;TgF
1.754000;0.0000;-0.0264;0.9929;0.993
1.764000;0.0000;-0.0264;0.9919;0.992
1.774000;0.0000;-0.0274;0.9929;0.993
1.785000;0.0000;-0.0274;0.9929;0.993
1.798000;0.0000;-0.0254;0.9919;0.992
1.804000;0.0000;-0.0264;0.9929;0.993
1.815000;0.0000;-0.0264;0.9929;0.993
1.824000;0.0000;-0.0264;0.9919;0.992
1.843000;0.0000;-0.0264;0.9919;0.992
1.846000;0.0000;-0.0264;0.9919;0.992
1.867000;0.0000;-0.0264;0.9929;0.993
1.869000;0.0000;-0.0274;0.9919;0.992
1.881000;0.0000;-0.0274;0.9919;0.992
1.898000;0.0000;-0.0264;0.9919;0.992
1.901000;0.0000;-0.0254;0.9919;0.992
1.914000;0.0000;-0.0264;0.9919;0.992
1.917000;0.0000;-0.0264;0.9919;0.992
1.936000;0.0000;-0.0274;0.9938;0.994
1.939000;0.0000;-0.0274;0.9909;0.991
1.957000;0.0000;-0.0264;0.9919;0.992
1.959000;0.0000;-0.0264;0.9919;0.992
1.971000;0.0000;-0.0264;0.9919;0.992
1.975000;0.0000;-0.0264;0.9919;0.992
1.984000;0.0000;-0.0274;0.9929;0.993
1.998000;0.0000;-0.0264;0.9929;0.993
2.003000;0.0000;-0.0264;0.9919;0.992
2.017000;0.0000;-0.0274;0.9919;0.992
2.023000;0.0000;-0.0274;0.9929;0.993
2.034000;0.0000;-0.0264;0.9919;0.992
2.047000;0.0000;-0.0264;0.9919;0.992
2.053000;0.0000;-0.0264;0.9919;0.992
2.064000;0.0000;-0.0264;0.9909;0.991
2.073000;0.0000;-0.0264;0.9909;0.991
2.084000;0.0000;-0.0264;0.9929;0.993
2.096000;0.0000;-0.0264;0.9919;0.992
2.104000;0.0000;-0.0254;0.9919;0.992
2.113000;0.0000;-0.0254;0.9919;0.992
2.123000;0.0000;-0.0254;0.9919;0.992
2.135000;0.0000;-0.0264;0.9919;0.992
2.147000;0.0000;-0.0283;0.9919;0.992
2.153000;0.0000;-0.0264;0.9929;0.993
2.164000;0.0000;-0.0274;0.9929;0.993
2.174000;0.0000;-0.0264;0.9929;0.993
2.184000;0.0000;-0.0264;0.9919;0.992
2.196000;0.0000;-0.0274;0.9919;0.992
2.204000;0.0000;-0.0264;0.9919;0.992
2.215000;0.0000;-0.0264;0.9929;0.993
2.224000;0.0000;-0.0254;0.9919;0.992
2.244000;0.0000;-0.0274;0.9919;0.992
2.250000;0.0000;-0.0254;0.9919;0.992
2.254000;0.0000;-0.0254;0.9919;0.992
2.266000;0.0000;-0.0274;0.9919;0.992
2.276000;0.0000;-0.0264;0.9929;0.993
2.285000;0.0000;-0.0264;0.9919;0.992
2.308000;0.0000;-0.0254;0.9929;0.993
2.309000;0.0000;-0.0274;0.9929;0.993
2.315000;0.0000;-0.0264;0.9919;0.992
2.323000;0.0000;-0.0283;0.9929;0.993
2.333000;0.0000;-0.0274;0.9919;0.992
2.351000;0.0000;-0.0264;0.9919;0.992
2.353000;0.0000;-0.0264;0.9919;0.992
2.363000;0.0000;-0.0264;0.9919;0.992
2.373000;0.0000;-0.0264;0.9929;0.993
2.383000;0.0000;-0.0274;0.9919;0.992
2.395000;0.0000;-0.0274;0.9919;0.992
2.403000;0.0000;-0.0264;0.9919;0.992
2.413000;0.0000;-0.0264;0.9929;0.993
2.423000;0.0000;-0.0264;0.9919;0.992
2.435000;0.0000;-0.0264;0.9919;0.992
2.445000;0.0000;-0.0264;0.9909;0.991
2.453000;0.0000;-0.0264;0.9919;0.992
2.464000;0.0000;-0.0264;0.9919;0.992
2.473000;0.0000;-0.0264;0.9919;0.992
2.484000;0.0000;-0.0264;0.9919;0.992
2.495000;0.0000;-0.0264;0.9938;0.994
2.504000;0.0000;-0.0264;0.9919;0.992
2.514000;0.0000;-0.0264;0.9919;0.992
2.523000;0.0000;-0.0264;0.9929;0.993
2.537000;0.0000;-0.0264;0.9929;0.993
2.554000;0.0000;-0.0264;0.9929;0.993
2.556000;0.0000;-0.0264;0.9919;0.992
2.564000;0.0000;-0.0264;0.9919;0.992
2.574000;0.0000;-0.0264;0.9919;0.992
2.584000;0.0000;-0.0264;0.9919;0.992
2.598000;0.0000;-0.0264;0.9919;0.992
2.604000;0.0000;-0.0264;0.9909;0.991
2.616000;0.0000;-0.0264;0.9919;0.992
2.624000;0.0000;-0.0274;0.9929;0.993
2.634000;0.0000;-0.0293;0.9919;0.992
2.659000;0.0000;-0.0264;0.9909;0.991
2.662000;0.0000;-0.0264;0.9919;0.992
2.664000;0.0000;-0.0274;0.9919;0.992
2.674000;0.0000;-0.0264;0.9919;0.992
2.684000;0.0000;-0.0274;0.9919;0.992
2.699000;0.0000;-0.0264;0.9929;0.993
2.704000;0.0000;-0.0264;0.9919;0.992
2.715000;0.0000;-0.0274;0.9929;0.993
2.724000;0.0000;-0.0264;0.9919;0.992
2.734000;0.0000;-0.0264;0.9919;0.992
2.760000;0.0000;-0.0274;0.9919;0.992
2.765000;0.0000;-0.0264;0.9919;0.992
2.766000;0.0000;-0.0264;0.9919;0.992
2.774000;0.0000;-0.0264;0.9919;0.992
2.784000;0.0000;-0.0264;0.9919;0.992
2.795000;0.0000;-0.0264;0.9919;0.992
2.804000;0.0000;-0.0264;0.9919;0.992
2.814000;0.0000;-0.0283;0.9919;0.992
2.824000;0.0000;-0.0274;0.9919;0.992
2.836000;0.0000;-0.0274;0.9919;0.992
2.849000;0.0000;-0.0264;0.9919;0.992
2.854000;0.0000;-0.0264;0.9919;0.992
2.864000;0.0000;-0.0264;0.9919;0.992
2.874000;0.0000;-0.0264;0.9919;0.992
2.884000;0.0000;-0.0264;0.9919;0.992
2.896000;0.0000;-0.0264;0.9919;0.992
2.903000;0.0000;-0.0264;0.9929;0.993
2.914000;0.0000;-0.0264;0.9919;0.992
2.924000;0.0000;-0.0264;0.9909;0.991
2.934000;0.0000;-0.0264;0.9919;0.992
2.955000;0.0000;-0.0264;0.9919;0.992
2.960000;0.0000;-0.0274;0.9929;0.993
2.970000;0.0000;-0.0264;0.9919;0.992
2.974000;0.0000;-0.0264;0.9919;0.992
2.985000;0.0000;-0.0264;0.9929;0.993
2.996000;0.0000;-0.0264;0.9909;0.991
3.004000;0.0000;-0.0264;0.9929;0.993
3.014000;0.0000;-0.0254;0.9919;0.992
